question_type,question,answer,hint,a,b,c,d
fill in the blank,"____ tasks refers to giving responsibilities to other employees, while remaining responsible for the results.",Delegating,None,,,,
multiple choice,____ is the ability to learn a particular kind of job.,A,,Aptitude,Skill,Competency,Talent
multiple choice,Prospective entrepreneurs should conduct a(n) ____ to determine their strengths and weaknesses.,C,,interview,survey,self-assessment,standardized test
multiple choice,"Generally speaking, your marketing strategy will be determined mostly by your business's ____.",B,,long-term goals,short-term goals,medium-term goals,all goals
multiple choice,____ is not a strategy for dealing with global risk?,D,,Seek government assistance,Work with local business partners,Employ local management,Conduct business only in one country
multiple choice,Co-ownership of property without the right of survivorship is ____.,C,,partnership,limited partnership,tenancy in common,right of partition
multiple choice,____ covers the cost to repair an office building if it were damaged by fire.,D,,Life insurance,Business interruption insurance,Liability insurance,Property insurance
multiple choice,The ____ is a financial statement that show how much money is available to pay bills.,A,,cash flow statement,balance sheet,income statement,pro forma financial statement
multiple choice,Immediate transfer of ownership of goods from a seller to a buyer for a price is called a ____.,B,,vendor,sale,contract agreement,business transaction
multiple choice,____ covers a company's legal responsibility for the harm it may cause to others as a result of what it and its employees do or fail to do in its business operations.,A,,Liability insurance,Business interruption insurance,Property insurance,No fault insurance
multiple choice,"When a business allows another business to buy now and pay later, it is offering ____.",B,,a line of credit,trade credit,retail credit,revolving credit
multiple choice,____ is a type of pricing technique that starts out with a low introductory price with the goal of building a strong customer base.,C,,Price skimming,Prestige pricing,Penetration pricing,Bundling
multiple choice,Employees fill out ____ forms for employers to determine the amount of taxes to deduct from pay checks.,D,,1040,W-2,1040EZ,W-4
multiple choice,____ is the practice of advertising a product at a low price while intentionally stocking only a limited number in hopes of luring shoppers to buy more expensive items.,C,,Substantiation,False advertising,Bait and switch,Puffery
multiple choice,The ____ believes that the right thing for a person to do in any situation is the action that best serves that person's own long-term interests.,B,,Utility Principle,Egoism Principle,Principle of Duties,Principle of Virtues
multiple choice,____ permits a party to a contract to reover money or property given to the other party.,A,,Restitution,Punitive damages,Disclaimer,Encumbrance
dropdown,"____ is made up of more than 10,500 retired executives who volunteer their time to provide entrepreneurs with real-world advice and know-how.",SCORE,,BBB,SCORE,SBDC,SBA
dropdown,Lexi decides to open a flower shop. She is operating a ____ business.,retail,,service,retail,wholesaling,manufacturing
dropdown,"Since the business purchases goods for resale, they are called the ____.",vendee,,vendee,vendor,casual seller,owner
dropdown,The ____ risk offers a chance to gain as well as lose from the event or activity.,speculative,,insurable,controllable,speculative,uncontrollable
dropdown,Income earned by ____ is double taxed.,corporations,,partnerships,cooperatives,sole proprietorship,corporations
dropdown,____ means to place the goods at the buyer's disposal.,Tender,,Tender,Sell,Transfer,Distribute
dropdown,Credit card fraud is an example of ____ risk.,human,,artificial,natural,economic,human
dropdown,A business can buy insurance to cover risks associated with ____.,destructive weather,,consumer demand,economic conditions,destructive weather,competitiors' actions
dropdown,Human actions have no effect on ____.,uncontrollable risks,,pure risks,speculative risks,controllable risks,uncontrollable risks
dropdown,"Once an entrepreneur has identified their goals, it is time to develop a marketing ____.",strategy,,strategy,concept,mix,layout
dropdown,Product characteristics that will satisfy consumer needs are called ____.,features,,packaging,features,branding,labeling
dropdown,Creating an image for a product in the customer's mind is called ____.,positioning,,advertising,distributing,positioning,labeling
dropdown,____ marketing consists of marketing activities designed to satisfy customer needs without negatively impacting the environment.,Green,,Social responsible,Conservative,Renewable,Green
dropdown,The ____ of ethics refers to social expectations of people's moral behaviour.,standard,,law,impact,standard,culture
dropdown,Payroll income taxes must be paid ____ by the employer.,quarterly,,semi-annually,annually,monthly,quarterly
